Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch
Fcfs,1139,101750,52729.92010535557,60059379,193825.0,59885.76031606673,68209881.0,210816.0,1051423.0,153088615.0,13736.0,224552.0,91.85346737533982
Fcfs_with_a_score_x0_x0_x0,1139,101750,52729.92010535557,60059379,193825.0,59885.76031606673,68209881.0,210816.0,1051423.0,153088615.0,13736.0,224552.0,91.85346737533982
Fcfs_with_a_score_x0_x1_x0,1139,101331,52733.4433713784,60063392,193825.0,59889.182616330116,68213779.0,210816.0,1051423.0,153088500.0,13621.0,224437.0,91.8623029506067
Fcfs_with_a_score_x0_x2_x0,1139,101331,52733.448639157155,60063398,193825.0,59889.18788410887,68213785.0,210816.0,1051423.0,153088500.0,13621.0,224437.0,91.86230358100492
Fcfs_with_a_score_x0_x3_x0,1139,101791,52736.72958735733,60067135,193825.0,59892.42932396839,68217477.0,210816.0,1051423.0,153087141.0,13576.0,224392.0,91.87124426171953
Fcfs_with_a_score_x0_x4_x0,1139,101430,53439.432835820895,60867514,193825.0,60593.8007023705,69016339.0,210560.0,1051423.0,153085624.0,12315.0,222875.0,94.79311865795582
Fcfs_with_a_score_x1_x0_x0,1139,101463,52696.516242317826,60021332,193825.0,59852.17822651449,68171631.0,211776.0,1051423.0,153089420.0,12573.0,224349.0,91.79869283270823
Fcfs_with_a_score_x1_x1_x0,1139,101347,52704.65759438104,60030605,193825.0,59860.971905179984,68181647.0,211968.0,1051423.0,153090163.0,13124.0,225092.0,91.84092671634869
Fcfs_with_a_score_x1_x2_x0,1139,101347,52704.65759438104,60030605,193825.0,59860.971905179984,68181647.0,211968.0,1051423.0,153090163.0,13124.0,225092.0,91.84092671634869
Fcfs_with_a_score_x1_x3_x0,1139,101834,52749.97278314311,60082219,193825.0,59905.992976295,68232926.0,210624.0,1051423.0,153087056.0,14133.0,224757.0,91.90815338978574
Fcfs_with_a_score_x1_x4_x0,1139,101797,53437.616330114135,60865445,193825.0,60591.85250219491,69014120.0,210368.0,1051423.0,153085024.0,12357.0,222725.0,94.75296103742572
Fcfs_with_a_score_x2_x0_x0,1139,102003,53219.07638279192,60616528,193825.0,60374.78489903424,68766880.0,210880.0,1051423.0,153088015.0,13522.0,224402.0,92.59911077293933
Fcfs_with_a_score_x2_x1_x0,1139,102003,53218.65935030729,60616053,193825.0,60374.36172080773,68766398.0,210880.0,1051423.0,153088008.0,13515.0,224395.0,92.59432625192657
Fcfs_with_a_score_x2_x2_x0,1139,102003,53218.65935030729,60616053,193825.0,60374.36172080773,68766398.0,210880.0,1051423.0,153088008.0,13515.0,224395.0,92.59432625192657
Fcfs_with_a_score_x2_x3_x0,1139,102003,53876.5566286216,61365398,193825.0,61030.298507462685,69513510.0,210304.0,1051423.0,153085775.0,11858.0,222162.0,95.29253423995671
Fcfs_with_a_score_x2_x4_x0,1139,102003,53981.379280070236,61484791,193825.0,61136.02019315189,69633927.0,210624.0,1051423.0,153086799.0,12562.0,223186.0,95.8028464900826
Fcfs_with_a_score_x3_x0_x0,1139,102003,53219.07638279192,60616528,193825.0,60374.78489903424,68766880.0,210880.0,1051423.0,153088015.0,13522.0,224402.0,92.59911077293933
Fcfs_with_a_score_x3_x1_x0,1139,102003,53217.55750658472,60614798,193825.0,60373.302897278314,68765192.0,210880.0,1051423.0,153088057.0,13564.0,224444.0,92.58927885522992
Fcfs_with_a_score_x3_x2_x0,1139,102003,53217.55750658472,60614798,193825.0,60373.302897278314,68765192.0,210880.0,1051423.0,153088057.0,13564.0,224444.0,92.58927885522992
Fcfs_with_a_score_x3_x3_x0,1139,102003,53876.5566286216,61365398,193825.0,61030.298507462685,69513510.0,210304.0,1051423.0,153085775.0,11858.0,222162.0,95.29253423995671
Fcfs_with_a_score_x3_x4_x0,1139,102003,53981.379280070236,61484791,193825.0,61136.02019315189,69633927.0,210624.0,1051423.0,153086799.0,12562.0,223186.0,95.8028464900826
Fcfs_with_a_score_x4_x0_x0,1139,101750,52726.934152765585,60055978,193825.0,59882.65144863916,68206340.0,210624.0,1051423.0,153087971.0,13788.0,224412.0,91.82046141583051
Fcfs_with_a_score_x4_x1_x0,1139,101446,52751.84108867428,60084347,193825.0,59907.78928884987,68234972.0,210560.0,1051423.0,153088234.0,14115.0,224675.0,91.91738483771847
Fcfs_with_a_score_x4_x2_x0,1139,101446,52751.84108867428,60084347,193825.0,59907.78928884987,68234972.0,210560.0,1051423.0,153088234.0,14115.0,224675.0,91.91738483771847
Fcfs_with_a_score_x4_x3_x0,1139,101834,52746.19754170325,60077919,193825.0,59902.13432835821,68228531.0,210560.0,1051423.0,153088221.0,14102.0,224662.0,91.88851041603085
Fcfs_with_a_score_x4_x4_x0,1139,101797,53457.877963125546,60888523,193825.0,60612.381913959616,69037503.0,210304.0,1051423.0,153086589.0,12726.0,223030.0,94.84170001754526
Fcfs_with_a_score_x0_x0_x0,1139,101750,52729.92010535557,60059379,193825.0,59885.76031606673,68209881.0,210816.0,1051423.0,153088615.0,13736.0,224552.0,91.85346737533982
Fcfs_with_a_score_x0_x0_x1,1139,101463,52207.67603160667,59464543,193825.0,59364.49868305531,67616164.0,212864.0,1051423.0,153090742.0,12807.0,225671.0,90.00898791803884
Fcfs_with_a_score_x0_x0_x2,1139,101750,51941.77436347673,59161681,193825.0,59100.204565408254,67315133.0,211840.0,1051423.0,153091061.0,15662.0,227502.0,88.90581861970593
Fcfs_with_a_score_x0_x0_x3,1139,101919,48435.437225636524,55167963,193825.0,55587.880597014926,63314596.0,206208.0,1051423.0,152986962.0,14475.0,220683.0,76.28980587191978
Fcfs_with_a_score_x0_x0_x4,1139,101814,47939.09218612818,54602626,193825.0,55092.12554872695,62749931.0,206144.0,1051423.0,152988003.0,15211.0,221355.0,74.4699944685549
Fcfs_with_a_score_x1_x0_x0,1139,101463,52696.516242317826,60021332,193825.0,59852.17822651449,68171631.0,211776.0,1051423.0,153089420.0,12573.0,224349.0,91.79869283270823
Fcfs_with_a_score_x1_x0_x1,1139,102003,52682.10447761194,60004917,193825.0,59839.23266022827,68156886.0,211776.0,1051423.0,153089632.0,14243.0,226019.0,90.66289955136568
Fcfs_with_a_score_x1_x0_x2,1139,101750,51943.59701492537,59163757,193825.0,59102.155399473224,67317355.0,211840.0,1051423.0,153091207.0,15808.0,227648.0,88.9139359811482
Fcfs_with_a_score_x1_x0_x3,1139,102055,48436.318700614574,55168967,193825.0,55588.76733977173,63315606.0,206208.0,1051423.0,152987022.0,14481.0,220689.0,76.29019128804357
Fcfs_with_a_score_x1_x0_x4,1139,101810,47900.535557506584,54558710,193825.0,55053.195785776996,62705590.0,205696.0,1051423.0,152987578.0,15234.0,220930.0,74.4090565355198
Fcfs_with_a_score_x2_x0_x0,1139,102003,53219.07638279192,60616528,193825.0,60374.78489903424,68766880.0,210880.0,1051423.0,153088015.0,13522.0,224402.0,92.59911077293933
Fcfs_with_a_score_x2_x0_x1,1139,101750,52226.18349429324,59485623,193825.0,59382.385425812114,67636537.0,211392.0,1051423.0,153088523.0,13572.0,224964.0,89.98448603235308
Fcfs_with_a_score_x2_x0_x2,1139,101750,51939.46532045654,59159051,193825.0,59097.84021071115,67312440.0,211840.0,1051423.0,153090998.0,15599.0,227439.0,88.89254226935428
Fcfs_with_a_score_x2_x0_x3,1139,102037,48445.08691834943,55178954,193825.0,55597.6733977173,63325750.0,206336.0,1051423.0,152987179.0,14510.0,220846.0,76.32668309374465
Fcfs_with_a_score_x2_x0_x4,1139,102492,48433.38981562774,55165631,193825.0,55585.58999122037,63311987.0,206016.0,1051423.0,152985398.0,14390.0,220406.0,75.32567460367034
Fcfs_with_a_score_x3_x0_x0,1139,102003,53219.07638279192,60616528,193825.0,60374.78489903424,68766880.0,210880.0,1051423.0,153088015.0,13522.0,224402.0,92.59911077293933
Fcfs_with_a_score_x3_x0_x1,1139,101750,52224.42669007902,59483622,193825.0,59380.97014925373,67634925.0,211392.0,1051423.0,153088912.0,13961.0,225353.0,89.97979325143172
Fcfs_with_a_score_x3_x0_x2,1139,101750,51941.15364354697,59160974,193825.0,59100.20105355575,67315129.0,211840.0,1051423.0,153091764.0,16365.0,228205.0,88.90933098732361
Fcfs_with_a_score_x3_x0_x3,1139,102085,48319.69183494293,55036129,193825.0,55472.10711150132,63182730.0,205696.0,1051423.0,152986192.0,14955.0,220651.0,75.85037690933562
Fcfs_with_a_score_x3_x0_x4,1139,102210,47961.82352941176,54628517,193825.0,55115.16066725198,62776168.0,205120.0,1051423.0,152986900.0,16581.0,221701.0,74.53031789270418
Fcfs_with_a_score_x4_x0_x0,1139,101750,52726.934152765585,60055978,193825.0,59882.65144863916,68206340.0,210624.0,1051423.0,153087971.0,13788.0,224412.0,91.82046141583051
Fcfs_with_a_score_x4_x0_x1,1139,101750,52224.42669007902,59483622,193825.0,59380.97014925373,67634925.0,211392.0,1051423.0,153088912.0,13961.0,225353.0,89.97979325143172
Fcfs_with_a_score_x4_x0_x2,1139,101750,51882.99824407375,59094735,193825.0,59041.461808604035,67248225.0,211840.0,1051423.0,153091099.0,15700.0,227540.0,88.74640094424026
Fcfs_with_a_score_x4_x0_x3,1139,102074,48271.79280070237,54981572,193825.0,55424.309920983316,63128289.0,205696.0,1051423.0,152986308.0,15071.0,220767.0,75.70840808314824
Fcfs_with_a_score_x4_x0_x4,1139,102358,48397.73134328358,55125016,193825.0,55550.04916593503,63271506.0,206080.0,1051423.0,152986639.0,14460.0,220540.0,75.17138084653887
Fcfs_with_a_score_x0_x0_x0,1139,101750,52729.92010535557,60059379,193825.0,59885.76031606673,68209881.0,210816.0,1051423.0,153088615.0,13736.0,224552.0,91.85346737533982
Fcfs_with_a_score_x0_x0_x1,1139,101463,52207.67603160667,59464543,193825.0,59364.49868305531,67616164.0,212864.0,1051423.0,153090742.0,12807.0,225671.0,90.00898791803884
Fcfs_with_a_score_x0_x0_x2,1139,101750,51941.77436347673,59161681,193825.0,59100.204565408254,67315133.0,211840.0,1051423.0,153091061.0,15662.0,227502.0,88.90581861970593
Fcfs_with_a_score_x0_x0_x3,1139,101919,48435.437225636524,55167963,193825.0,55587.880597014926,63314596.0,206208.0,1051423.0,152986962.0,14475.0,220683.0,76.28980587191978
Fcfs_with_a_score_x0_x0_x4,1139,101814,47939.09218612818,54602626,193825.0,55092.12554872695,62749931.0,206144.0,1051423.0,152988003.0,15211.0,221355.0,74.4699944685549
Fcfs_with_a_score_x0_x1_x0,1139,101331,52733.4433713784,60063392,193825.0,59889.182616330116,68213779.0,210816.0,1051423.0,153088500.0,13621.0,224437.0,91.8623029506067
Fcfs_with_a_score_x0_x1_x1,1139,101347,52181.645302897276,59434894,193825.0,59338.69271290606,67586771.0,212864.0,1051423.0,153090998.0,13063.0,225927.0,89.92879125313947
Fcfs_with_a_score_x0_x1_x2,1139,101446,51888.72080772607,59101253,193825.0,59048.04741000878,67255726.0,211840.0,1051423.0,153092082.0,16683.0,228523.0,88.72679733023602
Fcfs_with_a_score_x0_x1_x3,1139,101945,48384.73836698859,55110217,193825.0,55537.46795434592,63257176.0,206208.0,1051423.0,152987288.0,14801.0,221009.0,76.09287986100681
Fcfs_with_a_score_x0_x1_x4,1139,101819,47943.90605794557,54608109,193825.0,55097.74100087796,62756327.0,206144.0,1051423.0,152988916.0,16124.0,222268.0,74.48526496306259
Fcfs_with_a_score_x0_x2_x0,1139,101331,52733.448639157155,60063398,193825.0,59889.18788410887,68213785.0,210816.0,1051423.0,153088500.0,13621.0,224437.0,91.86230358100492
Fcfs_with_a_score_x0_x2_x1,1139,101347,52181.645302897276,59434894,193825.0,59338.69271290606,67586771.0,212864.0,1051423.0,153090998.0,13063.0,225927.0,89.92879125313947
Fcfs_with_a_score_x0_x2_x2,1139,101446,51884.359086918346,59096285,193825.0,59043.20105355575,67250206.0,211840.0,1051423.0,153091530.0,16131.0,227971.0,88.70441797425845
Fcfs_with_a_score_x0_x2_x3,1139,102162,48392.94468832309,55119564,193825.0,55545.67427568042,63266523.0,206208.0,1051423.0,152987288.0,14801.0,221009.0,76.09427703880111
Fcfs_with_a_score_x0_x2_x4,1139,102131,47944.15276558384,54608390,193825.0,55097.94907813872,62756564.0,206208.0,1051423.0,152988872.0,16016.0,222224.0,74.51303772351146
Fcfs_with_a_score_x0_x3_x0,1139,101791,52736.72958735733,60067135,193825.0,59892.42932396839,68217477.0,210816.0,1051423.0,153087141.0,13576.0,224392.0,91.87124426171953
Fcfs_with_a_score_x0_x3_x1,1139,101834,52221.31782265145,59480081,193825.0,59377.848990342405,67631370.0,211584.0,1051423.0,153087638.0,13755.0,225339.0,89.9704669016616
Fcfs_with_a_score_x0_x3_x2,1139,101834,51899.01316944688,59112976,193825.0,59058.87093942054,67268054.0,211392.0,1051423.0,153092372.0,17736.0,229128.0,88.76655992432079
Fcfs_with_a_score_x0_x3_x3,1139,102162,48398.388059701494,55125764,193825.0,55550.70237050044,63272250.0,205504.0,1051423.0,152986500.0,15032.0,220536.0,76.09145896111647
Fcfs_with_a_score_x0_x3_x4,1139,102358,48423.669885864794,55154560,193825.0,55576.649692712905,63301804.0,208064.0,1051423.0,153011947.0,13230.0,221294.0,75.21700250054614
Fcfs_with_a_score_x0_x4_x0,1139,101430,53439.432835820895,60867514,193825.0,60593.8007023705,69016339.0,210560.0,1051423.0,153085624.0,12315.0,222875.0,94.79311865795582
Fcfs_with_a_score_x0_x4_x1,1139,101797,52205.486391571554,59462049,193825.0,59362.11413520632,67613448.0,211584.0,1051423.0,153087748.0,13865.0,225449.0,89.91502401423676
Fcfs_with_a_score_x0_x4_x2,1139,101834,51900.42756804214,59114587,193825.0,59060.417032484635,67269815.0,211392.0,1051423.0,153092522.0,17886.0,229278.0,88.77143215698965
Fcfs_with_a_score_x0_x4_x3,1139,102153,48391.97980684811,55118465,193825.0,55544.2370500439,63264886.0,205504.0,1051423.0,152986435.0,14967.0,220471.0,76.09097845284056
Fcfs_with_a_score_x0_x4_x4,1139,101879,48022.52414398595,54697655,193825.0,55175.85689201054,62845301.0,206144.0,1051423.0,152988344.0,15552.0,221696.0,74.77832697905356
